TCF25;0.0.1.0.1
PHF5A;0.0.2.0.1
RFXANK;0.0.3.0.1
RFXAP;0.0.4.0.1
PURA;0.0.5.0.1
PURB;0.0.5.0.2
PURG;0.0.5.0.3
NRF1;0.0.6.0.1
NRF2;0.0.6.0.2
NRF3;0.0.6.0.3
SPEN;0.0.7.0.1
CSRNP1;0.1.1.0.1
CSRNP2;0.1.1.0.2
CSRNP3;0.1.1.0.3
NonO;0.2.1.0.1
PSPC1;0.2.1.0.3
SFPQ;0.2.1.0.2
LRRFIP1;0.3.1.0.1
LRRFIP2;0.3.1.0.2
NFX1;0.4.1.0.1
NFXL1;0.4.1.0.2
ZNFX1;0.4.1.0.3
c-Jun;1.1.1.1.1
JunB;1.1.1.1.2
JunD;1.1.1.1.3
BACH1;1.1.1.2.5
BACH2;1.1.1.2.6
NFE2L1;1.1.1.2.2
NFE2L2;1.1.1.2.3
NFE2L3;1.1.1.2.4
NFE2;1.1.1.2.1
NF-E2;1.1.1.2.1
ATF2;1.1.1.3.1
ATF7;1.1.1.3.2
CREB5;1.1.1.3.3
c-Fos;1.1.2.1.1
FosB;1.1.2.1.2
Fra1;1.1.2.1.3
Fra2;1.1.2.1.4
ATF3;1.1.2.2.1
JDP2;1.1.2.2.2
c-MAF;1.1.3.1.1
MAFA;1.1.3.1.2
MAFB;1.1.3.1.3
NRL;1.1.3.1.4
MAFF;1.1.3.2.1
MAFG;1.1.3.2.2
MAFK;1.1.3.2.3
BATF2;1.1.4.0.2
BATF3;1.1.4.0.3
BATF;1.1.4.0.1
XBP1;1.1.5.0.1
ATF4;1.1.6.0.1
ATF5;1.1.6.0.2
ATF1;1.1.7.1.2
CREB1;1.1.7.1.1
CREM;1.1.7.1.3
CREB3L1;1.1.7.2.2
CREB3L2;1.1.7.2.3
CREB3L3;1.1.7.2.4
CREB3L4;1.1.7.2.5
CREB3;1.1.7.2.1
ATF6B;1.1.7.3.2
ATF6;1.1.7.3.1
CREBZF;1.1.7.4.1
CREBL2;1.1.7.5.1
CEBPA;1.1.8.1.1
CEBPB;1.1.8.1.2
CEBPD;1.1.8.1.4
CEBPE;1.1.8.1.5
CEBPG;1.1.8.1.3
DDIT3;1.1.8.1.6
DBP;1.1.8.2.1
HLF;1.1.8.2.2
NFIL3;1.1.8.2.3
TEF;1.1.8.2.4
CREBRF;1.1.8.3.1
E2A;1.2.1.0.1
HTF4;1.2.1.0.3
SEF2;1.2.1.0.2
MYF5;1.2.2.1.3
MYF6;1.2.2.1.4
MyoD;1.2.2.1.1
MYOG;1.2.2.1.2
ASCL1;1.2.2.2.1
ASCL2;1.2.2.2.2
ASCL3;1.2.2.2.3
ASCL4;1.2.2.2.4
ASCL5;1.2.2.2.5
HEN1-UP;1.2.3.1.4
HEN2;1.2.3.1.5
LYL1;1.2.3.1.3
TAL1;1.2.3.1.1
TAL2;1.2.3.1.2
bHLH-EC2;1.2.3.2.5
TCF15;1.2.3.2.5
FIGalpha;1.2.3.2.8
FIGLA;1.2.3.2.8
HAND1;1.2.3.2.3
HAND2;1.2.3.2.4
PTF1a;1.2.3.2.7
SCX;1.2.3.2.6
TWIST1;1.2.3.2.1
TWIST2;1.2.3.2.2
MESP1;1.2.3.3.1
MESP2;1.2.3.3.2
MSC;1.2.3.3.4
MSGN1;1.2.3.3.6
TCF21;1.2.3.3.5
TCF23;1.2.3.3.3
ATOH1;1.2.3.4.8
ATOH7;1.2.3.4.9
ATOH8;1.2.3.4.10
BHLHA15;1.2.3.4.16
BHLHE22;1.2.3.4.11
BHLHE23;1.2.3.4.12
FERD3L;1.2.3.4.17
NEUROD1;1.2.3.4.1
NEUROD2;1.2.3.4.2
NEUROD4;1.2.3.4.3
NEUROD6;1.2.3.4.4
NGN1;1.2.3.4.5
NGN2;1.2.3.4.6
NGN3;1.2.3.4.7
OLIG1;1.2.3.4.13
OLIG2;1.2.3.4.14
OLIG3;1.2.3.4.15
BHLHA9;1.2.3.5.1
DEC1;1.2.4.1.12
DEC2;1.2.4.1.13
HELT;1.2.4.1.11
HES1;1.2.4.1.1
HES2;1.2.4.1.2
HES3;1.2.4.1.3
HES4;1.2.4.1.4
HES5;1.2.4.1.5
HES6;1.2.4.1.6
HES7;1.2.4.1.7
HEY1;1.2.4.1.8
HEY2;1.2.4.1.9
HEYL;1.2.4.1.10
AhR;1.2.5.1.1
AhRR;1.2.5.1.2
EPAS1;1.2.5.1.7
HIF1alpha;1.2.5.1.5
HIF3alpha;1.2.5.1.6
NPAS1;1.2.5.1.8
NPAS3;1.2.5.1.9
SIM1;1.2.5.1.3
SIM2;1.2.5.1.4
ARNT2;1.2.5.2.2
ARNTL2;1.2.5.2.4
ARNTL;1.2.5.2.3
ARNT;1.2.5.2.1
CLOCK;1.2.5.2.5
NPAS2;1.2.5.2.6
NCOA1;1.2.5.3.1
NCOA2;1.2.5.3.2
NCOA3;1.2.5.3.3
NPAS4;1.2.5.4.1
SOHLH1;1.2.5.5.1
SOHLH2;1.2.5.5.2
TCFL5;1.2.5.5.3
MITF;1.2.6.1.4
TFE3;1.2.6.1.1
TFEB;1.2.6.1.2
TFEC;1.2.6.1.3
USF1;1.2.6.2.1
USF2;1.2.6.2.2
SREBF1;1.2.6.3.1
SREBF2;1.2.6.3.2
AP4;1.2.6.4.1
cMYC;1.2.6.5.1
LMYC;1.2.6.5.3
MAX;1.2.6.5.5
MYCLP1;1.2.6.5.4
NMYC;1.2.6.5.2
MLX;1.2.6.6.1
MONDOA;1.2.6.6.2
MONDOB;1.2.6.6.3
MAD5;1.2.6.7.4
MNT;1.2.6.7.6
MXD1;1.2.6.7.1
MXD3;1.2.6.7.2
MXD4;1.2.6.7.3
MXI1;1.2.6.7.5
ID1;1.2.8.0.1
ID2;1.2.8.0.2
ID3;1.2.8.0.3
ID4;1.2.8.0.4
AP2alpha;1.3.1.0.1
AP2beta;1.3.1.0.2
AP2delta;1.3.1.0.4
AP2epsilon;1.3.1.0.5
AP2gamma;1.3.1.0.3
AR;2.1.1.1.4
GR;2.1.1.1.1
MR;2.1.1.1.2
PR;2.1.1.1.3
ERalpha;2.1.1.2.1
ERbeta;2.1.1.2.2
ERR23;2.1.1.2.2
ERRalpha;2.1.1.2.3
ERR1;2.1.1.2.3
ERRbeta;2.1.1.2.4
ERRgamma;2.1.1.2.5
RARA;2.1.2.1.1
RARB;2.1.2.1.2
RARG;2.1.2.1.3
T3Ralpha;2.1.2.2.1
T3Rbeta;2.1.2.2.2
